year,tot,tot_sd,catch
1991,270300,58185,6548.13
1992,293410,62476,6537.64
1993,313770,66085,2059.76
1994,336060,69015,1841.23
1995,355280,71211,5740.72
1996,370840,73380,8378.43
1997,385190,75756,9518.82
1998,398040,78013,8907.93
1999,412330,80354,10473.13
2000,430410,83638,10145.52
2001,450650,87181,10817.09
2002,475480,91634,11733.84
2003,499690,96058,10846.275
2004,526950,100760,11639.867
2005,549890,104740,11247.504
2006,571060,108240,13595.306
2007,585520,110910,12954.776
2008,601540,113700,12461.153
2009,616990,116250,12986.433
2010,635280,119390,15615.65761
2011,648110,122000,14223.59805
2012,663330,124780,14915.99537
2013,673300,126760,13181.37376
2014,684210,128620,17712.12498
2015,687620,129970,18732.82492
2016,688490,131070,23034.49275
2017,681730,131640,23860.20581
2018,678620,133000,24736.98643
2019,674550,134580,25470.30335
2020,668790,136400,25191.23405
2021,661770,138270,28899.92835
2022,650740,139410,27501.10107
